Community Area,Community Area Name,Per Capita Income,Birth Rate per (1k),General Fertility Rate per (1k),% Low Birth Weight,% Prenatal Care in First Trimester,% Preterm Births,Teen Birth Rate per (1k),Homicides per (100k),Breast Cancer Females per (100k),Cancer (All Sites) per (100k),Colorectal Cancer per (100k),Diabetes-related per (100k),Firearm-related per (100k),Infant Mortality Rate per (1k),Lung Cancer per (100k),Prostate Cancer in Males per (100k),Stroke (Cerebrovascular Disease) per (100k),Childhood Blood Lead Level Screening per (1k),Childhood Lead Poisoning per (100),Gonorrhea in Females per (100k),Gonorrhea in Males per (100k),Tuberculosis per (100k),% Below Poverty Level,% Crowded Housing,% Dependency,% No High School Diploma,Unemployment
65,West Lawn,15898,18.8,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,87.2,4.3,15.3,6.8,41.9,33.4,7.8
66,Chicago Lawn,14405,20.1,85.3,9.4,78.4,10.8,67.4,22.4,25.0,179.3,26.1,73.0,19.4,11.1,42.9,22.1,61.7,524.6,1.2,1189.5,1159.9,5.3,22.2,6.5,40.0,31.6,11.9
67,West Englewood,10559,20.3,93.3,16.1,63.6,13.8,116.9,47.2,39.2,247.6,24.4,88.2,39.3,13.3,66.3,75.0,64.6,450.6,2.6,2762.2,2545.7,10.9,32.3,6.9,40.9,30.3,34.7
68,Englewood,11993,20.0,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401.0,2.8,2594.9,2323.5,11.3,42.2,4.8,43.4,29.4,21.3
69,Greater Grand Crossing,17213,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,2034.2,4.8,25.6,4.2,42.9,17.9,18.9
70,Ashburn,22078,14.7,69.0,9.0,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,368.3,0.2,529.0,602.9,4.4,9.5,4.2,36.7,18.3,8.8
71,Auburn Gresham,16022,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243.0,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,1986.7,7.3,24.5,4.1,42.1,19.5,24.2
72,Beverly,40107,11.0,60.7,4.9,84.8,9.9,11.9,3.5,42.0,197.6,24.8,59.6,3.5,10.0,47.9,44.7,57.2,179.1,1.3,195.5,469.5,0.0,5.2,0.7,38.7,5.1,7.8
73,Washington Heights,19709,12.0,61.0,19.6,75.4,16.2,65.0,38.0,47.9,260.6,29.7,79.5,35.6,11.2,70.0,56.2,57.6,371.4,1.5,1298.2,1274.2,3.0,15.7,1.1,42.4,15.6,18.3
74,Mount Greenwood,34221,12.5,59.0,8.4,94.5,15.1,7.7,2.2,34.6,201.1,24.8,66.5,7.4,3.3,55.0,16.9,26.7,133.6,0.0,,.,0.0,3.1,1.1,37.0,4.5,6.9
75,Morgan Park,26185,13.2,67.5,10.6,74.5,12.3,46.7,19.9,32.4,218.2,27.1,75.4,15.8,13.1,50.0,39.8,47.9,298.8,1.3,800.5,741.1,2.6,13.7,0.8,39.4,10.9,14.9
76,O'Hare,29402,15.8,70.0,3.5,82.0,5.0,15.9,5.6,20.5,138.5,8.7,47.3,11.8,2.0,37.4,2.8,40.4,182.9,0.5,,.,6.3,9.5,1.9,26.5,11.0,4.7
77,Edgewater,33364,12.1,48.1,7.5,76.1,7.4,15.1,5.8,18.5,162.0,16.2,48.8,3.9,6.9,40.1,23.7,31.5,308.6,0.9,120.1,427.5,10.5,16.6,3.9,23.4,9.0,9.0
