State,Year,Population,House_Income,Per_Cap_Income,Pov_Rate,Unemp_Rate,Geo,Lat,Lng,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot,All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries
Maryland,2011,5736545.0,72419.0,35751.0,8.761545494718513,3.9675449246889896,South,39.055,-76.7909,2908.4753976478873,502.3406946167075,624.4699553476875,2003.8368042088052,280.1686380913947,294.1840428341449,6.9554060850215595,20.918514541418222,180.28273115612274,3410.816092264595,762.5670155119502,16.07239200598967,35.7357956749228,178.66154627916282,22.609427800182857,184.03063167812684,18.059650887424397,12.429084056692659,40.19841211042535,9.727109261759477,27.35095776290433
Massachusetts,2011,6512227.0,65981.0,35051.0,10.341577466510305,4.414403859079236,North,42.2596,-71.8083,2285.377951352126,433.5229714811845,558.9946419251049,1560.8178277569257,165.56548167009535,301.3715584545809,2.8254543338246654,25.39837754427172,103.92758114850726,2718.9009228333102,824.75626233545,27.93207300666884,40.70804042918037,198.0121393188536,17.505532285652823,180.6601643339521,21.774425246540083,18.94897091271542,37.86723036528058,8.98310209395342,34.151143687098134
Michigan,2011,9920621.0,48669.0,25482.0,15.306078117488813,6.063279707994085,North,44.3467,-85.4102,2533.3998748667045,440.809098543327,703.1313866339617,1579.1954959271197,251.0729923056228,287.3509632108716,6.219368727018197,43.78758144273428,103.45118516270303,2974.2089734100314,902.2419060258426,28.99012067893733,52.335433437080205,205.83388882611283,28.334919759559412,235.4489703819952,17.640024752482734,16.55138322490094,44.77542282887332,12.30769727016081,39.82613588403387
Minnesota,2011,5278190.0,58476.0,30310.0,10.707344752651949,3.820419499866432,North,46.2807,-94.3053,2580.107953673513,233.47018580232998,486.54936635475417,1939.1874866194662,154.37110069929275,127.88474837017993,1.4209416485575548,40.03266271202818,64.1318330715643,2813.578139475843,754.4252859408243,27.490484427426825,41.11257836493192,179.77753737550182,22.526661601799105,137.1682338074226,12.883204280255162,13.18633849861411,40.809444146572964,12.940041946197464,43.9355157733996
Mississippi,2011,2956700.0,38718.0,20521.0,20.895085737477594,4.560083877295633,South,32.7364,-89.6678,3037.474211113742,270.8763148104306,1039.06382115196,1832.414516183583,165.99587377819867,149.42334359251868,7.846585720566848,29.187946020901684,84.41843947644333,3308.3505259241724,990.2255893394664,32.975952920485675,57.293604356207936,212.3313153177529,33.686204214157684,248.08063043257684,20.39435857543884,22.45746947610512,51.61159400683194,13.156559678019411,58.30824906145365
Missouri,2011,5955802.0,47202.0,25371.0,13.912735849848602,4.1104791596497,North,38.3566,-92.458,3342.7068260496235,451.458930300235,753.466955415912,2331.827015068667,257.41285556504397,315.2891919509749,6.145268093197188,24.66502412269582,105.35944613336709,3794.1657563498584,937.7074657619577,32.355004414183014,58.63190213509449,209.4260353181654,24.144523273272014,231.8747332433147,20.232371727602764,20.90398572685929,50.92513149362588,15.665396532658406,53.20861909109806
Montana,2011,982854.0,45324.0,24640.0,14.234464121832948,3.3215513189141013,South,47.0527,-109.6333,2430.1676546058725,280.30612888587723,340.53887963013835,1942.2009779682435,147.42779700749043,222.7187354378168,2.950590830377655,37.23849116959386,17.398311448088933,2710.4737834917496,927.4012213411148,26.25008393922189,64.81125375691607,205.72740203529722,25.639616870867897,195.4512063846716,15.87214377720394,10.581429184802623,46.80247524047316,23.60472664302124,61.96240743793077
Nebraska,2011,1813061.0,50695.0,26113.0,11.679254035026954,2.9814220260653115,North,41.5378,-99.7951,2807.075989169697,257.68575905609356,481.23036125094524,2099.212326557132,226.63330136161994,160.61235667194873,3.750563273932868,38.55358424233933,54.76925486787262,3064.7617482257906,853.58407687331,32.92773933144004,58.90590553765152,188.07971711928062,25.37145744131058,180.08219249104138,17.925486235708558,11.803243244435789,44.67582723361209,10.644981056897699,37.39532205480125
Nevada,2011,2673396.0,55553.0,27625.0,12.751683626368859,5.43477285071123,South,39.3289,-116.6312,2621.19790708148,577.9914386046811,760.9048565943841,1502.0595527187145,358.2334977683815,377.49738534807415,5.199379366169471,34.15131914613473,161.14335474430274,3199.1893456861612,760.9422622013349,13.054556825849964,46.495169439918364,172.29022561565893,14.962242780343802,188.63647585318452,18.66539786847889,15.411110063754116,33.2535845793141,19.301293186643505,43.20347602824273
New Hampshire,2011,1315911.0,64664.0,32357.0,7.723470660249818,3.546440450759968,North,43.6805,-71.5811,2489.2260950778586,217.6438984095429,474.5001751638219,1930.0697387589282,84.65618115510851,133.59566110474034,1.2158877006119715,44.151922128472215,38.68042747571834,2706.8699934874016,822.4720364827102,30.01722760885805,49.39543783736134,208.2207687298001,21.2780347607095,177.29162534548308,16.718455883414606,13.070792781578696,37.236560831241626,15.04661029507315,42.024118652401256
