State_Name,House_Income,Population,Med_Age,Per_Cap_Income,Pov_Rate,Unemp_Rate,Year,Lat,Lng,Geo
Oklahoma,44891.0,3749005.0,36.3,24046.0,16.0735448472328,3.270974565251313,2012,35.5889,-97.4943,South
Oregon,50036.0,3836628.0,38.4,26702.0,15.223237697269582,5.483434932967178,2012,43.9336,-120.5583,North
Pennsylvania,52267.0,12699589.0,40.1,28190.0,12.633983666715514,4.319667353014338,2012,40.8781,-77.7996,North
Rhode Island,56102.0,1052471.0,39.4,30005.0,12.680824459771339,5.121661309432754,2012,41.6762,-71.5562,North
South Carolina,44623.0,4630351.0,37.9,23906.0,17.013569813605923,5.373998645027126,2012,33.9169,-80.8964,South
South Dakota,49091.0,815871.0,37.1,25570.0,13.276486111162182,2.6581408090249563,2012,44.4443,-100.2263,North
Tennessee,44140.0,6353226.0,38.0,24294.0,16.82636506241081,4.794383199968016,2012,35.858000000000004,-86.3505,South
Texas,51563.0,25208897.0,33.6,25809.0,16.939328999598832,3.80979778686866,2012,31.4757,-99.3312,South
Utah,58164.0,2766233.0,29.3,23794.0,11.913819262513316,3.48864321985892,2012,39.3055,-111.6703,South
Vermont,54168.0,625498.0,41.7,28846.0,11.096917975756917,3.662841447934286,2012,44.0687,-72.6658,North
Virginia,63636.0,8014955.0,37.4,33326.0,10.717864292438323,3.580731270481244,2012,37.5215,-78.8537,South
Washington,59374.0,6738714.0,37.2,30661.0,12.67244759163247,4.586171782924754,2012,47.3826,-120.4472,South
West Virginia,40400.0,1850481.0,41.3,22482.0,17.105066196302474,3.518814837871883,2012,38.6409,-80.6227,South
Wisconsin,52627.0,5687219.0,38.5,27426.0,12.14709684997184,4.052173830478481,2012,44.6243,-89.9941,North
Wyoming,56573.0,562803.0,36.9,28858.0,10.773929776493729,2.760646265211806,2012,42.9957,-107.5512,North
Alabama,43253.0,4799277.0,38.1,23680.0,18.140878303127742,5.040967629082464,2013,32.7794,-86.8287,South
Alaska,70760.0,720316.0,33.6,32651.0,9.650486730823694,4.572854136240205,2013,64.0685,-152.2782,North
Arizona,49774.0,6479703.0,36.3,25358.0,17.46840866008828,4.882322538548449,2013,34.2744,-111.6602,South
Arkansas,40768.0,2933369.0,37.5,22170.0,18.658682218295755,4.132961110586496,2013,34.8938,-92.4426,South
California,61094.0,37659181.0,35.4,29527.0,15.628106729139967,5.75866214403335,2013,37.1841,-119.4696,South
Colorado,58433.0,5119329.0,36.1,31109.0,12.909387148198524,4.526784662599336,2013,38.9972,-105.5478,South
Connecticut,69461.0,3583561.0,40.2,37892.0,9.888153152688066,5.321773509645852,2013,41.6219,-72.7273,North
Delaware,59878.0,908446.0,38.9,29819.0,11.40772263843971,4.535987829766436,2013,38.9896,-75.505,South
District of Columbia,65830.0,619371.0,33.8,45290.0,17.630789946574833,6.295741970482958,2013,38.9101,-77.0147,South
Florida,46956.0,19091156.0,41.0,26236.0,15.990686996638653,5.741024797031673,2013,28.6305,-82.4497,South
Georgia,49179.0,9810417.0,35.6,25182.0,17.702407553114206,5.5533011491764315,2013,32.6415,-83.4426,South
Hawaii,67402.0,1376298.0,38.3,29305.0,10.864725517293493,3.5419654755002186,2013,20.2927,-156.3737,South
Idaho,46767.0,1583364.0,34.9,22568.0,15.176421846145296,4.243433600864994,2013,44.3509,-114.613,North
Illinois,56797.0,12848554.0,36.8,29666.0,13.79402693875124,5.452878199367804,2013,40.0417,-89.1965,North
Indiana,48248.0,6514861.0,37.1,24635.0,14.887209412449476,4.842405693690164,2013,39.8942,-86.2816,North
Iowa,51843.0,3062553.0,38.1,27027.0,11.996984215456843,3.0991463657935063,2013,42.0751,-93.49600000000001,North
Kansas,51332.0,2868107.0,36.0,26929.0,13.34747971397162,3.637974454927937,2013,38.4937,-98.3804,South
Kentucky,43036.0,4361333.0,38.2,23462.0,18.255932303265997,4.631313408079594,2013,37.5347,-85.3021,South
Louisiana,44874.0,4567968.0,36.0,24442.0,18.53734527036967,4.206815809567843,2013,31.0689,-91.9968,South
Maine,48453.0,1328320.0,43.2,26824.0,13.221512888460612,4.055197542760781,2013,45.3695,-69.2428,North
Maryland,73538.0,5834299.0,38.0,36354.0,9.569770078633269,4.466123522294623,2013,39.055,-76.7909,South
Massachusetts,66866.0,6605058.0,39.2,35763.0,10.981750652303129,4.88610395245583,2013,42.2596,-71.8083,North
Michigan,48411.0,9886095.0,39.1,25681.0,16.44716139183368,6.235717945255432,2013,44.3467,-85.4102,North
Minnesota,59836.0,5347740.0,37.6,30913.0,11.189605328606103,3.9421325644103864,2013,46.2807,-94.3053,North
Mississippi,39031.0,2976872.0,36.2,20618.0,21.946560013329428,5.010225498442661,2013,32.7364,-89.6678,South
Missouri,47380.0,6007182.0,38.0,25649.0,14.997531288381142,4.455400219270866,2013,38.3566,-92.458,North
Montana,46230.0,998554.0,39.9,25373.0,14.874308249729108,3.775659603787076,2013,47.0527,-109.6333,South
Nebraska,51672.0,1841625.0,36.3,26899.0,12.423213194868662,3.1236000814498066,2013,41.5378,-99.7951,North
Nevada,52800.0,2730066.0,36.6,26589.0,14.773049442760724,6.415302780225826,2013,39.3289,-116.6312,South
New Hampshire,64916.0,1319171.0,41.5,33134.0,8.403686860914924,3.916853842299444,2013,43.6805,-71.5811,North
New Jersey,71629.0,8832406.0,39.1,36027.0,10.196349669614373,5.345021503766924,2013,40.1907,-74.6728,North
New Mexico,44927.0,2069706.0,36.7,23763.0,19.99322609104868,4.547070936645108,2013,34.4071,-106.1126,South
New York,58003.0,19487053.0,38.1,32382.0,14.902109621193107,4.729329776031296,2013,42.9538,-75.5268,North
North Carolina,46334.0,9651380.0,37.6,25284.0,17.027502802708007,5.464814358153964,2013,35.5557,-79.3877,South
North Dakota,53741.0,689781.0,36.4,29732.0,11.515683963460866,1.8291312749988764,2013,47.4501,-100.4659,North
Ohio,48308.0,11549590.0,39.0,26046.0,15.358579828374861,5.047391292677922,2013,40.2862,-82.7937,North
Oklahoma,45339.0,3785742.0,36.2,24208.0,16.34245017225157,3.3769337688622203,2013,35.5889,-97.4943,South
Oregon,50229.0,3868721.0,38.7,26809.0,15.890988262012174,5.717419271123454,2013,43.9336,-120.5583,North
Pennsylvania,52548.0,12731381.0,40.3,28502.0,12.872287774594131,4.567713431873573,2013,40.8781,-77.7996,North
Rhode Island,56361.0,1051695.0,39.6,30469.0,13.04979105158815,5.336623260546071,2013,41.6762,-71.5562,North
South Carolina,44779.0,4679602.0,38.1,23943.0,17.529439469424965,5.522777364399793,2013,33.9169,-80.8964,South
South Dakota,49495.0,825198.0,36.9,25740.0,13.582921916921757,2.6963225795506047,2013,44.4443,-100.2263,North
Tennessee,44298.0,6402387.0,38.2,24409.0,17.208144399893353,4.94631143040869,2013,35.858000000000004,-86.3505,South
Texas,51900.0,25639373.0,33.8,26019.0,17.226743415293345,3.978771243742973,2013,31.4757,-99.3312,South
Utah,58821.0,2813673.0,29.6,23873.0,12.446542295426655,3.6055717917469443,2013,39.3055,-111.6703,South
Vermont,54267.0,625904.0,42.0,29167.0,11.323301976021883,3.761918760704517,2013,44.0687,-72.6658,North
Virginia,63907.0,8100653.0,37.5,33493.0,10.957079632962923,3.7420316609043742,2013,37.5215,-78.8537,South
Washington,59478.0,6819579.0,37.3,30742.0,13.09774401029741,4.79729027261067,2013,47.3826,-120.4472,South
West Virginia,41043.0,1853619.0,41.5,22966.0,17.346930518083813,3.741383747145449,2013,38.6409,-80.6227,South
Wisconsin,52413.0,5706871.0,38.7,27523.0,12.68173049644893,4.196064708664345,2013,44.6243,-89.9941,North
Wyoming,57406.0,570134.0,36.8,28902.0,11.18035409219587,2.9396597992752582,2013,42.9957,-107.5512,North
Alabama,43511.0,4817678.0,38.2,23936.0,18.46761033012169,4.747432269238417,2014,32.7794,-86.8287,South
Alaska,71829.0,728300.0,33.4,33129.0,9.867636962790058,4.407112453659207,2014,64.0685,-152.2782,North
Arizona,49928.0,6561516.0,36.5,25537.0,17.820713993534422,4.634096754469546,2014,34.2744,-111.6602,South
Arkansas,41264.0,2947036.0,37.6,22595.0,18.639168303339357,3.905279745479865,2014,34.8938,-92.4426,South
California,61489.0,38066920.0,35.6,29906.0,16.064457014121448,5.476051122601986,2014,37.1841,-119.4696,South
Colorado,59448.0,5197580.0,36.2,31674.0,12.772501818153833,4.21813613258478,2014,38.9972,-105.5478,South
Connecticut,69899.0,3592053.0,40.3,38480.0,10.154081802245123,5.19443894619595,2014,41.6219,-72.7273,North
Delaware,60231.0,917060.0,39.1,30191.0,11.678734215863738,4.342027784441585,2014,38.9896,-75.505,South
