Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
Edison Park,0.0,0,623,898,13.80000000000006,189.70000000000653,15.099999999999199,53.0,45.19999999999797,28.0,38.89999999999823,11.299999999999493,59.5,7.900000000000208,12.599999999999325,3.899999999999794,5.100000000000243,36.60000000000152,7.400000000000126
Englewood,45.10000000006112,130,25708,23212,32.899999999950765,252.19999999962133,30.199999999995004,101.7999999998705,76.79999999988894,57.700000000086156,71.59999999995016,20.0,85.79999999988105,14.5,13.099999999983606,105.2999999998686,42.20000000004939,43.399999999940135,21.300000000029613
Forest Glen,3.2999999999996765,3,771,2177,25.0,138.69999999999285,14.300000000001418,37.20000000000246,27.0,20.30000000000186,31.0,10.0,60.59999999999925,7.5999999999992465,10.300000000000841,6.299999999999522,6.09999999999942,40.60000000000372,5.5
Fuller Park,49.599999999992285,9,2447,2958,8.5,258.89999999995456,21.10000000000353,111.69999999998107,89.59999999998536,70.5,82.4000000000139,11.899999999998233,60.4000000000105,17.100000000003,14.300000000001852,69.19999999999807,55.5,38.20000000000658,40.0
Gage Park,10.799999999994304,51,6366,9666,23.40000000001231,171.0,13.5999999999956,65.0,34.09999999998425,41.099999999993145,51.199999999973485,21.799999999999446,93.20000000000992,6.799999999997801,6.799999999997801,61.399999999973794,20.799999999997176,40.400000000008575,14.0
Garfield Ridge,9.899999999996037,14,4764,7823,31.0,231.9000000000476,24.59999999998869,80.30000000003191,59.199999999973315,30.900000000013762,42.19999999998133,13.400000000001318,69.0,8.0,9.5,33.69999999998837,9.0,39.5,8.100000000003549
Grand Boulevard,32.099999999998694,56,10749,12208,22.599999999985105,218.2999999998693,27.699999999980804,82.60000000005644,63.8000000000038,39.0,46.699999999969656,14.299999999993567,58.199999999977905,12.700000000007913,13.700000000008185,54.80000000003274,28.300000000019782,41.69999999997161,20.599999999985915
Greater Grand Crossing,49.70000000005778,150,21121,22204,29.10000000003827,274.3999999999993,31.5,92.29999999988293,77.5,70.29999999990457,58.20000000007654,18.199999999975365,82.40000000006252,12.900000000015547,15.0999999999874,84.2999999998895,25.600000000030764,42.89999999994408,18.89999999999134
Hegewisch,6.900000000000793,6,1471,2126,20.0,210.0,16.699999999998187,80.0,57.90000000000306,28.600000000003266,47.10000000000157,13.699999999998427,73.20000000000766,7.699999999999466,13.100000000000234,47.10000000000157,12.099999999999769,41.600000000004066,9.599999999999024
Hermosa,12.700000000003538,21,4678,5523,18.400000000000922,135.19999999999152,15.600000000003092,63.59999999998961,27.700000000007925,25.599999999992786,27.599999999991628,20.299999999993428,86.69999999997242,6.69999999999805,8.800000000000047,69.69999999997704,19.099999999998253,36.300000000001226,12.899999999996176
