Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Homicide_rate_per_100k,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,ASSAULT,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,WEAPONS VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,THEFT,BATTERY,OTHER OFFENSE,ROBBERY,PUBLIC PEACE VIOLATION,SEX OFFENSE,PROSTITUTION,BURGLARY,STALKING,CRIMINAL SEXUAL ASSAULT,ARSON,Homicide,GAMBLING,KIDNAPPING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,LIQUOR LAW VIOLATION,OBSCENITY,PUBLIC INDECENCY,OTHER NARCOTIC VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,RITUALISM,Violence,Sexual Crimes,Property Crimes,Drugs
Hermosa,20,20.299999999993425,86.69999999997242,6.69999999999805,77.5,8.800000000000047,69.69999999997705,12.700000000003541,18.400000000000922,135.19999999999152,15.600000000003092,63.59999999998962,11.799999999997075,9.299999999999418,27.700000000007925,25.599999999992786,27.599999999991624,394.70000000011953,0.7000000000001536,154.5,15.799999999994869,19.099999999998257,8.399999999997242,36.300000000001226,41.90000000001346,15411,12.899999999996174,1036,420,176,66,2286,293,227,1236,1641,2295,3505,1347,601,238,70,405,1349,6,1,74,21,5,35,46,7,66,0,0,0,0,0,0,4678,542,5523,1641
Humboldt Park,23,19.199999999969943,80.70000000012341,12.300000000020795,70.9000000000864,11.699999999980527,77.9000000001121,29.0,26.300000000006573,211.09999999995253,26.600000000045462,94.09999999984306,22.6999999999674,9.80000000001422,48.0,52.5,53.5,447.7000000000802,1.3000000000019578,1234.7000000019286,9.699999999986112,32.60000000005424,11.199999999981737,38.29999999994615,36.79999999995155,13391,12.300000000020795,5486,1555,590,292,8658,1415,1071,4366,21439,11217,18222,4643,3297,511,244,2034,4144,46,4,210,155,535,53,222,34,164,3,0,3,0,0,0,24160,2574,23111,21442
Hyde Park,41,9.700000000000951,33.90000000001105,5.899999999998573,80.30000000002589,5.5,7.60000000000241,5.800000000001793,33.59999999998906,144.0,11.70000000000278,34.0,5.0,10.399999999996671,34.900000000011396,24.099999999993926,26.0,369.0,0.0,216.6000000000625,5.300000000001687,18.200000000005943,2.5,26.70000000000776,5.300000000001687,39243,6.899999999997935,862,986,99,61,1780,498,77,1002,612,5381,2158,1105,993,46,79,2,1460,8,0,17,9,20,19,16,6,15,2,0,0,0,0,0,3071,142,8861,612
Irving Park,16,15.79999999999207,67.1000000000418,7.7000000000046525,79.89999999994997,10.200000000006364,37.0,4.100000000002539,29.90000000001608,169.40000000004724,19.19999999999828,60.19999999996774,5.7000000000022,5.299999999998513,41.30000000002572,17.900000000011257,42.0,333.5,0.5999999999999462,159.59999999997277,9.299999999994144,10.799999999993343,5.600000000003418,31.59999999998414,22.0,26713,10.299999999993583,1709,980,235,115,5500,746,156,2539,1880,7064,5633,2225,928,328,164,51,2766,21,2,78,13,13,40,39,16,114,2,0,0,0,0,0,7489,332,13353,1880
Jefferson Park,11,13.80000000000016,67.80000000000813,6.599999999999651,82.90000000001542,7.699999999998413,28.599999999999497,4.800000000000789,18.399999999996393,208.19999999998598,23.20000000000462,49.200000000006405,4.1999999999995135,8.300000000001683,55.700000000000216,32.09999999999702,41.900000000007736,236.79999999998984,0.20000000000001691,,7.100000000000085,6.400000000000541,1.9000000000001156,34.40000000000434,13.5,27280,9.0,602,663,109,17,2017,273,23,513,399,2496,1638,1165,164,70,48,4,711,8,0,19,5,4,14,15,11,31,2,0,0,0,0,0,2289,69,3909,399
Kenwood,39,12.200000000002857,51.0999999999851,11.39999999999653,77.60000000000475,11.899999999996432,25.70000000000747,15.200000000004591,30.900000000009413,196.39999999994177,34.20000000000357,45.5,17.39999999999865,8.89999999999719,49.09999999998544,46.199999999990546,31.5,397.9000000000967,0.39999999999989777,610.1999999999742,0.0,23.099999999995273,2.2999999999999985,34.20000000000357,10.799999999998281,37519,11.0,1236,517,144,61,1941,431,135,779,1098,3939,3200,1322,611,75,52,4,1075,9,0,15,11,50,14,13,12,6,2,0,0,0,0,0,4488,117,6430,1098
Lake View,6,13.5,38.6999999999686,6.299999999993583,79.10000000005346,8.099999999992967,15.800000000013245,1.4000000000000554,20.09999999998836,126.900000000107,13.0,38.5,1.8000000000017677,2.1999999999980244,32.5,17.0,24.399999999993177,179.2000000000071,0.4000000000001698,81.79999999991672,3.200000000001358,10.5,1.1999999999988034,16.5,2.8999999999970165,58227,4.700000000004641,1716,3853,105,198,6250,1489,98,1930,2005,20180,6548,2556,1910,398,224,307,4394,29,3,30,14,11,14,49,22,206,2,3,10,0,0,0,8344,732,28450,2015
Lincoln Park,7,13.20000000000264,38.69999999997022,6.60000000000132,75.70000000004897,7.799999999993563,2.1000000000009877,0.700000000000501,23.69999999998084,152.90000000010065,16.69999999999233,50.10000000004127,2.3000000000018073,2.399999999998408,40.0,27.300000000022774,35.30000000002816,173.2999999998737,0.599999999999602,50.30000000002035,1.199999999999204,11.7999999999918,0.599999999999602,20.40000000001532,4.299999999997799,71403,4.5,1113,2624,90,114,5752,1311,58,1769,869,19510,4089,1525,1224,182,164,148,3375,16,0,23,6,10,19,32,10,183,0,4,0,0,0,0,5260,426,25907,869
Lincoln Square,4,17.09999999999792,61.0,8.100000000003023,80.5,9.700000000002296,38.40000000001384,5.0,21.700000000007464,153.2000000000348,8.600000000003186,55.40000000001158,6.1000000000021055,3.8000000000014196,43.09999999998513,27.599999999989855,36.900000000013456,273.29999999989866,0.39999999999985747,98.80000000003189,8.5,9.5,3.0999999999990018,25.599999999990878,12.5,35503,6.800000000001688,917,909,86,61,3059,483,62,1020,992,5353,2782,1591,431,214,103,142,1406,12,0,18,6,28,14,12,16,86,1,1,0,0,0,0,3753,306,8240,992
Logan Square,22,18.19999999997915,63.5,7.200000000007578,78.2000000000905,9.400000000010834,66.10000000006481,8.599999999990322,9.200000000004307,148.7000000000607,13.699999999987597,75.70000000008733,10.199999999999319,4.299999999995161,37.699999999987625,17.5,31.899999999965555,364.3999999998251,0.9000000000009473,209.0,8.400000000009353,17.199999999980644,3.2000000000025,26.699999999970967,18.5,29026,7.5,3203,1870,433,214,7978,1157,377,4020,3807,16300,9274,3548,2199,395,251,583,5128,29,2,135,40,10,62,75,40,226,6,2,3,0,0,1,12754,1050,27749,3810
Loop,32,9.400000000010259,27.699999999971116,5.299999999994133,78.20000000008606,6.90000000000554,1.300000000001439,0.6999999999998224,20.199999999977678,120.09999999988844,10.800000000001221,26.800000000028295,4.0,5.700000000006272,29.199999999970206,17.199999999981905,39.0,297.3000000003234,0.2999999999996709,129.90000000013126,6.5,11.099999999987746,2.0,15.5,3.39999999999643,67699,4.200000000004354,2292,5946,52,89,3035,3169,102,935,1897,29990,4632,2723,1662,484,221,318,774,42,1,9,6,11,16,56,53,126,2,4,4,0,0,0,7008,629,33430,1901
Lower West Side,31,16.5,68.19999999996872,4.5,80.80000000002022,8.799999999995764,49.0,11.70000000000607,27.19999999999177,141.2999999999318,11.900000000001377,61.89999999997424,11.70000000000607,5.399999999997197,27.800000000009057,14.299999999992917,39.19999999998004,589.0,0.7999999999995906,92.29999999999448,11.400000000000416,27.19999999999177,10.399999999998217,35.199999999983056,44.300000000023026,15467,13.0,1905,756,213,76,4079,658,331,1565,2070,5862,4836,1644,710,596,150,334,1375,13,4,55,34,5,22,43,23,179,5,0,1,1,0,0,6875,564,9557,2071
